bvid,title,top_words,top_scores
BV1pr4y1R7tX,「假如月老也有KPI」实习生为了KPI把自己也搭进去了,那到 | 请问 | 老大 | 还给 | 一一 | 通常 | 不得不 | 眼睛 | 出去 | 三个,0.4197 | 0.3737 | 0.3512 | 0.3239 | 0.3239 | 0.3038 | 0.2652 | 0.2293 | 0.2253 | 0.2166
BV1NT421Y71A,职场女孩被工作压力逼到深山老林自寻短见，超治愈电影推荐!,自杀 | 似乎 | 女友 | 老爷 | 老板 | 生活 | 女孩 | 面条 | 打算 | 突然,0.2252 | 0.2191 | 0.2111 | 0.2052 | 0.1854 | 0.1619 | 0.1343 | 0.1319 | 0.1312 | 0.1301
BV1uS4y1w7GK,进来让世界感受一下什么是内卷王中王！！,蛋糕 | 小王 | 大佬 | 巧克力 | 一层 | 起码 | 模型 | 同款 | 塑料 | 不想,0.5249 | 0.2672 | 0.225 | 0.209 | 0.1853 | 0.1603 | 0.1455 | 0.12 | 0.1159 | 0.1127
BV1fC41177gH,活是永远都干不完的！责任心过剩是病，得治！,工作 | 彻底 | 忍受 | 消息 | 心里 | 失败 | 这一 | 计划 | 接下来 | 不再,0.3459 | 0.2809 | 0.2355 | 0.231 | 0.227 | 0.1903 | 0.1725 | 0.1598 | 0.1488 | 0.1488
BV1LiEtzMECx,月薪过万神仙岗:岗位多.要求低.竞争少.压力小-仓库组长、主管,主管 | 参观 | 经理 | 同学 | 要求 | 公司 | 经验 | 一年 | 采购 | 主观,0.5288 | 0.4347 | 0.3365 | 0.1744 | 0.1652 | 0.1392 | 0.1299 | 0.1179 | 0.1174 | 0.1127
BV1to3jzBEay,喜报喜报，我家宝宝长心啦，奢侈奖励自己14元大盒饭2荤一素,一头 | 咖啡 | 小孩 | 谢谢 | 哈哈哈哈 | 这家 | 心态 | 一半 | 土豆 | 喝点,0.4669 | 0.3731 | 0.3281 | 0.2874 | 0.2562 | 0.2523 | 0.2305 | 0.1889 | 0.1611 | 0.1556
BV1Ty421a7hx,8分钟了解一线城市就业现状、衣食住行及未来定居面临的压力,北京 | 港位 | 深圳 | 上海 | 城市 | 上市公司 | 萬人 | 當地 | 工業 | 分鐘,0.3542 | 0.3426 | 0.334 | 0.3051 | 0.2468 | 0.2294 | 0.1835 | 0.1529 | 0.1529 | 0.1307
BV1Cr4y1z7DV,再见吧996，我回村了！！,清理 | 回家 | 脚子 | 下水 | 迎接 | 战士 | 奋斗 | 将会 | 生理 | 相同,0.3008 | 0.1998 | 0.1939 | 0.1861 | 0.1861 | 0.1861 | 0.1798 | 0.1798 | 0.1798 | 0.1745
BV1154y1Y7bN,好好的寒假放了个寂寞:学校要求在家朝五晚十，大年夜还开班会！,教育 | 当中 | 学生 | 一条 | 内据 | 竞争 | 自杀 | 本质 | 全家 | 社会,0.2524 | 0.2192 | 0.2032 | 0.1958 | 0.1851 | 0.1667 | 0.1623 | 0.1445 | 0.1413 | 0.1252
BV1c6421V7x5,如果你手里有100万你会像这位大哥一样躺平吗？,大哥 | 配料 | 外卖 | 便宜 | 每天 | 干净 | 爱情 | 生活 | 女人 | 追求,0.3431 | 0.3336 | 0.2846 | 0.2614 | 0.2329 | 0.2182 | 0.2179 | 0.2055 | 0.1931 | 0.179
